[1] 2000
           [,1]     [,2]      [,3]     [,4]
  [1,]    2.008    0.004    -0.008   -0.030
  [2,]    2.018    0.010    -0.018   -0.050
  [3,]    2.028    0.014    -0.028   -0.100
  [4,]    2.040    0.020    -0.036   -0.160
  [5,]    2.050    0.026    -0.046   -0.168
  [6,]    2.058    0.030    -0.056   -0.170
  [7,]    2.076    0.038    -0.066   -0.262
  [8,]    2.086    0.044    -0.076   -0.268
  [9,]    2.104    0.052    -0.088   -0.334
 [10,]    2.104    0.056    -0.096   -0.256
 [11,]    2.108    0.060    -0.106   -0.218
 [12,]    2.154    0.078    -0.122   -0.462
 [13,]    2.150    0.082    -0.130   -0.396
 [14,]    2.166    0.090    -0.142   -0.428
 [15,]    2.218    0.110    -0.162   -0.618
 [16,]    2.210    0.112    -0.168   -0.546
 [17,]    2.248    0.128    -0.186   -0.656
 [18,]    2.238    0.128    -0.192   -0.582
 [19,]    2.252    0.138    -0.206   -0.608
 [20,]    2.282    0.152    -0.222   -0.672
 [21,]    2.318    0.170    -0.240   -0.764
 [22,]    2.372    0.192    -0.260   -0.888
 [23,]    2.360    0.194    -0.268   -0.832
 [24,]    2.406    0.214    -0.290   -0.934
 [25,]    2.402    0.220    -0.298   -0.898
 [26,]    2.554    0.272    -0.344   -1.228
 [27,]    2.414    0.236    -0.322   -0.876
 [28,]    2.400    0.236    -0.328   -0.822
 [29,]    2.526    0.286    -0.372   -1.104
 [30,]    2.582    0.312    -0.396   -1.202
 [31,]    2.574    0.318    -0.406   -1.172
 [32,]    2.504    0.300    -0.398   -0.990
 [33,]    2.564    0.330    -0.426   -1.120
 [34,]    2.684    0.380    -0.472   -1.346
 [35,]    2.700    0.392    -0.488   -1.340
 [36,]    2.720    0.408    -0.504   -1.356
 [37,]    2.708    0.412    -0.514   -1.330
 [38,]    2.728    0.428    -0.532   -1.342
 [39,]    3.004    0.534    -0.626   -1.800
 [40,]    2.788    0.466    -0.574   -1.410
 [41,]    2.834    0.494    -0.602   -1.496
 [42,]    2.976    0.556    -0.660   -1.708
 [43,]    2.982    0.570    -0.676   -1.716
 [44,]    2.906    0.550    -0.664   -1.576
 [45,]    3.048    0.616    -0.724   -1.790
 [46,]    3.192    0.680    -0.784   -1.982
 [47,]    3.268    0.722    -0.826   -2.082
 [48,]    3.190    0.704    -0.814   -1.952
 [49,]    3.264    0.746    -0.856   -2.058
 [50,]    3.410    0.814    -0.920   -2.238
 [51,]    3.208    0.744    -0.864   -1.936
 [52,]    3.316    0.802    -0.918   -2.082
 [53,]    3.232    0.776    -0.902   -1.932
 [54,]    3.536    0.918    -1.030   -2.356
 [55,]    3.414    0.878    -1.000   -2.174
 [56,]    3.460    0.914    -1.036   -2.242
 [57,]    3.586    0.980    -1.100   -2.382
 [58,]    3.830    1.098    -1.210   -2.684
 [59,]    3.896    1.142    -1.254   -2.756
 [60,]    3.496    0.980    -1.114   -2.232
 [61,]    3.938    1.194    -1.310   -2.804
 [62,]    3.604    1.056    -1.190   -2.350
 [63,]    4.090    1.296    -1.412   -2.980
 [64,]    3.792    1.172    -1.304   -2.570
 [65,]    3.964    1.266    -1.394   -2.772
 [66,]    4.180    1.386    -1.508   -3.044
 [67,]    4.484    1.546    -1.660   -3.394
 [68,]    4.326    1.484    -1.608   -3.156
 [69,]    4.756    1.708    -1.820   -3.670
 [70,]    4.136    1.426    -1.564   -2.896
 [71,]    4.234    1.496    -1.630   -3.034
 [72,]    3.992    1.394    -1.540   -2.760
 [73,]    4.500    1.664    -1.796   -3.330
 [74,]    4.698    1.782    -1.910   -3.540
 [75,]    4.986    1.942    -2.066   -3.836
 [76,]    4.676    1.810    -1.944   -3.498
 [77,]    4.642    1.812    -1.950   -3.448
 [78,]    5.266    2.148    -2.274   -4.106
 [79,]    5.608    2.358    -2.474   -4.522
 [80,]    5.866    2.518    -2.632   -4.796
 [81,]    4.986    2.070    -2.210   -3.768
 [82,]    5.506    2.378    -2.506   -4.370
 [83,]    5.030    2.138    -2.280   -3.798
 [84,]    5.474    2.410    -2.544   -4.316
 [85,]    6.128    2.788    -2.910   -4.992
 [86,]    5.186    2.302    -2.446   -3.998
 [87,]    5.836    2.688    -2.818   -4.686
 [88,]    5.796    2.686    -2.822   -4.604
